user_no,class_no,user_name,authority,status
20204056,r3a238,木村悠斗,student,valid
20204057,r3a134,中村花子,student,valid
20204058,r3a205,木村直樹,student,valid
20204059,r3a122,林陸,student,valid
20204060,r3a136,山本凛,student,valid
20204061,r3a117,佐藤直樹,student,valid
20204062,r3a130,佐藤結衣,student,valid
20204063,r3a118,山口陽菜,student,valid
20204065,r3a225,中島拓也,student,valid
20204066,r3a132,林健太,student,valid
20204067,r3a226,小林大輔,student,valid
20204068,r3a105,石川彩香,student,valid
20204069,r3a112,森結衣,student,valid
20204070,r3a116,松本優樹,student,valid
20204071,r3a222,石川悠斗,student,valid
20204073,r3a210,山口花子,student,valid
20204074,r3a228,池田花子,student,valid
20204076,r3a126,山口翔太,student,valid
20204077,r3a138,清水翔太,student,valid
20204078,r3a124,高橋凛,student,valid
20204079,r3a104,佐々木直樹,student,valid
20204080,r3a206,中村彩香,student,valid
20204082,r3a201,山崎直樹,student,valid
20204083,r3a127,吉田悠斗,student,valid
20204084,r3a214,石川美咲,student,valid
20204085,r3a119,石川優樹,student,valid
20204086,r3a109,鈴木翔太,student,valid
20204087,r3a233,鈴木彩香,student,valid
20204089,r3a137,山下彩香,student,valid
20204090,r3a204,田中翔太,student,valid
20212001,j1a104,渡辺優奈,student,valid
20212003,j2a102,山本海斗,student,valid
20212004,j2a107,山口優樹,student,valid
20212005,j2a122,阿部凛,student,valid
20212006,j1a106,橋本陸,student,valid
20212007,j1a114,山田翔太,student,valid
20212008,j2a119,山崎陸,student,valid
20212009,j1a107,渡辺凛,student,valid
20212010,j2a120,池田優奈,student,valid
20212011,j2a109,阿部遥,student,valid
20212012,j1a119,山口太郎,student,valid
20212013,j2a117,伊藤拓也,student,valid
20212015,j2a121,木村遥,student,valid
20212016,j1a109,清水花子,student,valid
20212017,j1a122,木村優樹,student,valid
20212018,j1a116,佐藤杏奈,student,valid
20212019,j2a111,山本杏奈,student,valid
20212020,j1a115,石川陸,student,valid
20212021,j1a117,鈴木海斗,student,valid
20212022,j1a121,小林健太,student,valid
20212023,j2a113,木村杏奈,student,valid
20212024,j2a106,清水拓也,student,valid
20212025,j2a116,橋本大輔,student,valid
20212026,j1a111,佐藤凛,student,valid
20212028,j1a108,伊藤海斗,student,valid
20212029,j1a103,伊藤優奈,student,valid
20212030,j1a110,山口翔太,student,valid
20212031,j2a110,加藤優樹,student,valid
20212032,j2a114,吉田大輔,student,valid
20212034,j2a115,中島優奈,student,valid
20212035,j2a105,中村結衣,student,valid
20212036,j1a101,池田凛,student,valid
20212038,j1a102,高橋健太,student,valid
20212039,j2a112,山口悠斗,student,valid
20212040,j2a101,加藤直樹,student,valid
20212041,j2a118,渡辺太郎,student,valid
20212042,j2a103,森葵,student,valid
20212044,j1a120,林優樹,student,valid
20212045,j1a118,高橋凛,student,valid
20212046,j1a112,鈴木美咲,student,valid
20212047,j2a104,加藤葵,student,valid
20212048,j2a108,田中凛,student,valid
20212049,j1a113,渡辺杏奈,student,valid
20212050,j1a105,林優樹,student,valid
20213001,s2a112,橋本陽菜,student,valid
20213002,s2a306,阿部悠斗,student,valid
20213003,s2a106,鈴木凛,student,valid
20213004,s2a109,清水遥,student,valid
20213005,s2a311,松本直樹,student,valid
20213006,s2a308,中村結衣,student,valid
20213007,s2a301,佐々木悠斗,student,valid
20213009,s2a411,阿部陽菜,student,valid
20213010,s2a304,田中直樹,student,valid
20213012,s2a303,鈴木遥,student,valid
20213013,s2a408,前田葵,student,valid
20213014,s2a401,山本海斗,student,valid
20213015,s2a201,池田大輔,student,valid
20213016,s2a407,渡辺彩香,student,valid
20213018,s2a305,山田太郎,student,valid
20213023,s2a207,小林彩香,student,valid
20213024,s2a204,中村優奈,student,valid
20213025,s2a211,伊藤美咲,student,valid
20213026,s2a403,前田結衣,student,valid
20213027,s2a107,森太郎,student,valid
20213028,s2a410,山下海斗,student,valid
20213029,s2a307,加藤直樹,student,valid
20213030,s2a202,清水花子,student,valid
20213031,s2a101,井上遥,student,valid
20213032,s2a208,渡辺杏奈,student,valid
20213033,s2a103,井上彩香,student,valid
20213034,s2a105,前田悠斗,student,valid
20213035,s2a310,斎藤健太,student,valid
20213036,s2a402,斎藤大輔,student,valid
20213037,s2a209,鈴木優奈,student,valid
20213039,s2a309,山下海斗,student,valid
20213040,s2a406,吉田陽菜,student,valid
20213041,s2a404,鈴木太郎,student,valid
20213042,s2a111,山口結衣,student,valid
20213045,s2a409,山田葵,student,valid
20213046,s2a212,田中翔太,student,valid
20213047,s2a302,山田結衣,student,valid
20213048,s2a210,吉田優樹,student,valid
20213050,s2a102,田中優奈,student,valid
20213051,s2a206,前田翔太,student,valid
20213052,s2a203,清水優奈,student,valid
20213053,s2a405,木村優奈,student,valid
20213054,s2a108,井上結衣,student,valid
20213055,s2a205,田中大輔,student,valid
20213058,s2a104,山崎太郎,student,valid
20213059,s2a312,小林優樹,student,valid
20213060,s2a110,石川陽菜,student,valid
20214001,r3a232,斎藤健太,student,valid
20214002,r3a231,中島海斗,student,valid
20214003,r3a105,木村凛,student,valid
20214004,r3a224,阿部杏奈,student,valid
20214005,r3a230,鈴木凛,student,valid
20214006,r3a116,木村杏奈,student,valid
20214007,r3a218,吉田葵,student,valid
20214008,r3a213,山崎葵,student,valid
20214009,r3a101,山口葵,student,valid
20214010,r3a133,森遥,student,valid
20214011,r3a209,清水凛,student,valid
20214012,r3a127,渡辺結衣,student,valid
20214013,r3a109,田中陸,student,valid
20214014,r3a228,山下翔太,student,valid
20214015,r3a241,中島凛,student,valid
20214016,r3a208,加藤葵,student,valid
20214017,r3a220,山田花子,student,valid
20214018,r3a229,吉田太郎,student,valid
20214019,r3a204,高橋杏奈,student,valid
20214020,r3a125,高橋凛,student,valid
20214021,r3a206,石川優樹,student,valid
20214022,r3a130,佐々木美咲,student,valid
20214023,r3a137,中島葵,student,valid
20214024,r3a215,佐々木杏奈,student,valid
20214025,r3a111,山本悠斗,student,valid
20214026,r3a235,田中陸,student,valid
20214027,r3a219,山田杏奈,student,valid
20214028,r3a237,吉田優奈,student,valid
20214029,r3a115,橋本拓也,student,valid
20214031,r3a119,伊藤海斗,student,valid
20214032,r3a131,山田結衣,student,valid
20214033,r3a233,山本健太,student,valid
20214034,r3a132,田中翔太,student,valid
20214035,r3a107,斎藤葵,student,valid
20214036,r3a112,阿部翔太,student,valid
20214037,r3a136,斎藤凛,student,valid
20214038,r3a216,池田拓也,student,valid
20214039,r3a114,高橋拓也,student,valid
20214040,r3a113,森優樹,student,valid
20214042,r3a227,林陽菜,student,valid
20214043,r3a223,清水杏奈,student,valid
20214045,r3a205,池田優奈,student,valid
20214046,r3a118,田中優樹,student,valid
20214047,r3a210,加藤翔太,student,valid
20214048,r3a226,加藤直樹,student,valid
20214049,r3a236,伊藤健太,student,valid
20214050,r3a217,佐々木遥,student,valid
20214051,r3a117,山口陸,student,valid
20214052,r3a221,鈴木凛,student,valid
20214053,r3a201,池田翔太,student,valid
20214056,r3a141,渡辺陸,student,valid
20214057,r3a238,加藤杏奈,student,valid
20214058,r3a234,森優奈,student,valid
20214059,r3a106,山下陽菜,student,valid
20214060,r3a110,小林翔太,student,valid
20214061,r3a202,藤田直樹,student,valid
20214062,r3a129,松本翔太,student,valid
20214063,r3a134,田中太郎,student,valid
20214064,r3a124,松本美咲,student,valid
20214065,r3a108,斎藤葵,student,valid
20214066,r3a214,池田優樹,student,valid
20214067,r3a126,斎藤大輔,student,valid
20214070,r3a211,木村結衣,student,valid
20214071,r3a128,斎藤優樹,student,valid
20214072,r3a225,高橋陽菜,student,valid
20214073,r3a139,加藤遥,student,valid
20214075,r3a135,前田優樹,student,valid
20214076,r3a212,前田結衣,student,valid
20214077,r3a120,山本健太,student,valid
20214078,r3a140,山本悠斗,student,valid
20214079,r3a121,林海斗,student,valid
20214080,r3a207,中島大輔,student,valid
20214081,r3a102,吉田遥,student,valid
20214082,r3a203,前田凛,student,valid
20214083,r3a222,池田海斗,student,valid
20214084,r3a123,斎藤美咲,student,valid
20214085,r3a240,鈴木悠斗,student,valid
20214086,r3a138,井上結衣,student,valid
20214087,r3a104,高橋陸,student,valid
20214088,r3a103,小林太郎,student,valid
20214089,r3a122,佐々木直樹,student,valid
20214090,r3a239,斎藤悠斗,student,valid
20222002,j1a104,山下大輔,student,valid
20222003,j1a105,井上太郎,student,valid
20222005,j1a118,田中翔太,student,valid
20222006,j2a111,山田健太,student,valid
20222007,j1a108,佐々木大輔,student,valid
20222008,j1a101,加藤陸,student,valid
20222009,j1a110,山下太郎,student,valid
20222010,j1a115,山口翔太,student,valid
20222012,j1a119,山田陸,student,valid
20222013,j2a115,阿部美咲,student,valid
20222014,j1a122,藤田健太,student,valid
20222015,j1a106,小林遥,student,valid
20222016,j2a102,山本拓也,student,valid
20222018,j2a114,山田美咲,student,valid
20222020,j1a121,田中健太,student,valid
20222021,j2a109,木村優樹,student,valid
20222023,j1a111,加藤太郎,student,valid
20222024,j2a119,吉田遥,student,valid
20222025,j2a117,中村花子,student,valid
20222026,j1a103,鈴木遥,student,valid
20222027,j2a112,前田健太,student,valid
20222028,j1a116,松本陸,student,valid
20222029,j1a114,阿部太郎,student,valid
20222030,j1a107,小林遥,student,valid
20222031,j2a120,松本悠斗,student,valid
20222032,j1a102,山下拓也,student,valid
20222033,j2a108,渡辺杏奈,student,valid
20222034,j1a109,渡辺拓也,student,valid
20222035,j2a105,中島優奈,student,valid
20222036,j1a113,小林陽菜,student,valid
20222037,j2a121,木村結衣,student,valid
20222038,j2a106,木村花子,student,valid
20222039,j2a116,高橋拓也,student,valid
20222040,j2a101,佐々木直樹,student,valid
20222041,j1a112,吉田優樹,student,valid
20222042,j2a122,前田直樹,student,valid
20222043,j2a118,田中拓也,student,valid
20222044,j2a113,木村優奈,student,valid
20222045,j1a120,鈴木海斗,student,valid
20222046,j2a107,中村健太,student,valid
20222047,j2a104,山本陽菜,student,valid
20222048,j1a117,石川優奈,student,valid
20222049,j2a103,山田優樹,student,valid
20222050,j2a110,藤田海斗,student,valid
20223001,s2a113,中島結衣,student,valid
20223003,s2a103,加藤翔太,student,valid
20223004,s2a304,林優樹,student,valid
20223005,s2a202,中島優奈,student,valid
20223007,s2a204,田中健太,student,valid
20223008,s2a405,前田杏奈,student,valid
20223009,s2a209,山本優樹,student,valid
20223010,s2a309,井上海斗,student,valid
20223011,s2a107,小林結衣,student,valid
20223012,s2a410,加藤健太,student,valid
20223013,s2a312,清水杏奈,student,valid
20223015,s2a302,加藤翔太,student,valid
20223016,s2a411,前田優樹,student,valid
20223019,s2a306,吉田優樹,student,valid
20223020,s2a308,山本遥,student,valid
20223022,s2a112,山口葵,student,valid
20223023,s2a412,林杏奈,student,valid
20223024,s2a208,佐藤翔太,student,valid
20223025,s2a108,高橋海斗,student,valid
20223026,s2a311,中村大輔,student,valid
20223027,s2a402,斎藤花子,student,valid
20223028,s2a105,佐々木太郎,student,valid
20223029,s2a101,山口花子,student,valid
20223030,s2a407,中村遥,student,valid
20223031,s2a409,佐藤凛,student,valid
20223032,s2a403,前田陸,student,valid
20223033,s2a212,山口悠斗,student,valid
20223034,s2a404,石川結衣,student,valid
20223035,s2a310,斎藤悠斗,student,valid
20223036,s2a408,高橋海斗,student,valid
20223040,s2a205,橋本健太,student,valid
20223041,s2a106,藤田海斗,student,valid
20223042,s2a207,阿部優樹,student,valid
20223044,s2a301,佐々木美咲,student,valid
20223045,s2a406,渡辺翔太,student,valid
20223046,s2a102,山崎杏奈,student,valid
20223047,s2a213,伊藤彩香,student,valid
20223048,s2a104,田中翔太,student,valid
20223049,s2a210,山田優奈,student,valid
20223050,s2a203,佐々木結衣,student,valid
20223051,s2a401,山下花子,student,valid
20223052,s2a211,山下美咲,student,valid
20223053,s2a206,吉田健太,student,valid
20223054,s2a109,木村凛,student,valid
20223055,s2a307,清水遥,student,valid
20223056,s2a303,小林直樹,student,valid
20223057,s2a110,松本翔太,student,valid
20223058,s2a305,藤田海斗,student,valid
20223059,s2a111,山田葵,student,valid
20223060,s2a201,渡辺翔太,student,valid
20224001,r3a111,阿部杏奈,student,valid
20224002,r3a114,山本陽菜,student,valid
20224003,r3a203,加藤悠斗,student,valid
20224004,r3a237,佐藤優奈,student,valid
20224005,r3a236,加藤優奈,student,valid
20224006,r3a132,加藤結衣,student,valid
20224007,r3a233,山崎遥,student,valid
20224008,r3a130,中村杏奈,student,valid
20224009,r3a116,石川美咲,student,valid
20224010,r3a109,斎藤杏奈,student,valid
20224012,r3a226,佐藤直樹,student,valid
20224013,r3a119,井上葵,student,valid
20224015,r3a235,鈴木優樹,student,valid
20224016,r3a103,石川陸,student,valid
20224017,r3a217,山崎凛,student,valid
20224018,r3a215,阿部海斗,student,valid
20224019,r3a232,池田健太,student,valid
20224020,r3a102,吉田優樹,student,valid
20224021,r3a121,鈴木優樹,student,valid
20224022,r3a223,佐々木優樹,student,valid
20224024,r3a101,山田彩香,student,valid
20224026,r3a120,木村葵,student,valid
20224027,r3a107,田中拓也,student,valid
20224028,r3a136,山下優樹,student,valid
20224029,r3a124,前田彩香,student,valid
20224030,r3a141,清水海斗,student,valid
20224031,r3a104,藤田陽菜,student,valid
20224032,r3a230,中村陸,student,valid
20224033,r3a206,林葵,student,valid
20224034,r3a115,池田優奈,student,valid
20224035,r3a127,木村翔太,student,valid
20224036,r3a108,森彩香,student,valid
20224037,r3a207,鈴木結衣,student,valid
20224038,r3a224,中島美咲,student,valid
20224039,r3a133,鈴木遥,student,valid
20224040,r3a225,中島凛,student,valid
20224042,r3a222,山下美咲,student,valid
20224044,r3a227,田中結衣,student,valid
20224045,r3a118,斎藤海斗,student,valid
20224046,r3a106,山口結衣,student,valid
20224047,r3a213,鈴木健太,student,valid
20224048,r3a209,佐々木凛,student,valid
20224049,r3a117,山田遥,student,valid
20224050,r3a128,池田美咲,student,valid
20224051,r3a208,斎藤優奈,student,valid
20224052,r3a211,池田花子,student,valid
20224053,r3a234,森拓也,student,valid
20224055,r3a134,清水陸,student,valid
20224056,r3a218,山本陸,student,valid
20224057,r3a129,田中陽菜,student,valid
20224058,r3a113,山下美咲,student,valid
20224059,r3a126,橋本美咲,student,valid
20224060,r3a138,清水拓也,student,valid
20224061,r3a229,池田優奈,student,valid
20224063,r3a212,阿部優奈,student,valid
20224064,r3a140,池田大輔,student,valid
20224065,r3a231,山本杏奈,student,valid
20224066,r3a139,前田海斗,student,valid
20224067,r3a135,森大輔,student,valid
20224068,r3a125,中島陽菜,student,valid
20224069,r3a240,中村優奈,student,valid
20224070,r3a219,加藤結衣,student,valid
20224072,r3a204,小林美咲,student,valid
20224073,r3a110,藤田大輔,student,valid
20224074,r3a123,阿部太郎,student,valid
20224075,r3a220,佐々木拓也,student,valid
20224076,r3a202,木村葵,student,valid
20224077,r3a131,森陽菜,student,valid
20224078,r3a112,橋本太郎,student,valid
20224079,r3a216,池田悠斗,student,valid
20224080,r3a137,高橋美咲,student,valid
20224081,r3a205,森葵,student,valid
20224082,r3a221,山口優樹,student,valid
20224083,r3a238,佐々木優奈,student,valid
20224084,r3a239,渡辺結衣,student,valid
20224085,r3a228,池田健太,student,valid
20224086,r3a210,木村陸,student,valid
20224087,r3a122,渡辺悠斗,student,valid
20224088,r3a105,山本大輔,student,valid
20224089,r3a214,斎藤直樹,student,valid
20224090,r3a201,吉田凛,student,valid
20232001,j1a119,田中海斗,student,valid
20232002,j2a115,田中海斗,student,valid
20232003,j1a116,山本遥,student,valid
20232004,j1a113,山田結衣,student,valid
20232005,j1a108,林優奈,student,valid
20232006,j2a101,森遥,student,valid
20232008,j1a112,山崎太郎,student,valid
20232010,j1a109,山田直樹,student,valid
20232011,j2a103,吉田彩香,student,valid
20232012,j1a106,林結衣,student,valid
20232013,j1a118,田中優樹,student,valid
20232014,j1a115,山田拓也,student,valid
20232015,j1a101,加藤花子,student,valid
20232016,j1a111,高橋結衣,student,valid
20232017,j2a108,渡辺結衣,student,valid
20232018,j1a110,林杏奈,student,valid
20232019,j2a105,清水優樹,student,valid
20232020,j1a117,山田太郎,student,valid
20232021,j2a119,中村直樹,student,valid
20232024,j2a118,藤田美咲,student,valid
20232026,j2a109,山本美咲,student,valid
20232027,j2a114,山崎翔太,student,valid
20232028,j2a106,山口優奈,student,valid
20232030,j2a117,鈴木直樹,student,valid
20232031,j2a116,佐藤大輔,student,valid
20232032,j1a107,小林健太,student,valid
20232034,j1a120,木村優奈,student,valid
20232036,j2a110,林拓也,student,valid
20232037,j2a104,小林健太,student,valid
20232038,j2a113,前田直樹,student,valid
20232039,j1a103,林優樹,student,valid
20232040,j1a104,松本優奈,student,valid
20232043,j2a112,渡辺太郎,student,valid
20232044,j1a114,池田陽菜,student,valid
20232045,j2a111,石川結衣,student,valid
20232046,j1a105,中島花子,student,valid
20232048,j2a107,山口海斗,student,valid
20232049,j2a102,鈴木凛,student,valid
20232050,j1a102,池田葵,student,valid
20233001,s2a201,鈴木杏奈,student,valid
20233002,s2a101,伊藤優樹,student,valid
20233003,s2a113,山下海斗,student,valid
20233004,s2a307,山本結衣,student,valid
20233005,s2a411,加藤葵,student,valid
20233006,s2a110,池田彩香,student,valid
20233007,s2a209,森海斗,student,valid
20233008,s2a408,佐々木海斗,student,valid
20233009,s2a203,石川直樹,student,valid
20233010,s2a302,斎藤葵,student,valid
20233011,s2a412,吉田葵,student,valid
20233013,s2a304,木村陽菜,student,valid
20233014,s2a102,佐藤優奈,student,valid
20233015,s2a410,池田凛,student,valid
20233016,s2a108,中村拓也,student,valid
20233017,s2a306,山下杏奈,student,valid
20233018,s2a405,林結衣,student,valid
20233019,s2a106,佐藤翔太,student,valid
20233020,s2a208,加藤直樹,student,valid
20233021,s2a214,高橋拓也,student,valid
20233022,s2a114,木村杏奈,student,valid
20233023,s2a211,斎藤凛,student,valid
20233024,s2a310,松本陸,student,valid
20233025,s2a406,山崎結衣,student,valid
20233026,s2a107,中村葵,student,valid
20233027,s2a109,吉田凛,student,valid
20233028,s2a212,山田優奈,student,valid
20233030,s2a207,中島健太,student,valid
20233031,s2a301,伊藤美咲,student,valid
20233032,s2a308,佐藤葵,student,valid
20233033,s2a206,前田直樹,student,valid
20233034,s2a402,井上太郎,student,valid
20233035,s2a210,石川優樹,student,valid
20233036,s2a103,山崎陽菜,student,valid
20233039,s2a105,伊藤結衣,student,valid
20233041,s2a213,井上陸,student,valid
20233042,s2a403,山本花子,student,valid
20233043,s2a312,山田花子,student,valid
20233045,s2a407,中島凛,student,valid
20233046,s2a112,中島遥,student,valid
20233047,s2a202,林大輔,student,valid
20233048,s2a413,伊藤葵,student,valid
20233049,s2a205,田中杏奈,student,valid
20233050,s2a111,井上優樹,student,valid
20233051,s2a409,阿部結衣,student,valid
20233052,s2a309,伊藤杏奈,student,valid
20233053,s2a404,吉田葵,student,valid
20233054,s2a401,山本陽菜,student,valid
20233055,s2a311,伊藤花子,student,valid
20233056,s2a104,阿部悠斗,student,valid
20233057,s2a303,加藤直樹,student,valid
20233058,s2a204,中村花子,student,valid
20233059,s2a313,前田海斗,student,valid
20233060,s2a305,鈴木翔太,student,valid
20234001,r3a206,藤田優奈,student,valid
20234002,r3a129,加藤拓也,student,valid
20234004,r3a119,石川陽菜,student,valid
20234005,r3a222,森大輔,student,valid
20234006,r3a116,前田凛,student,valid
20234007,r3a131,高橋拓也,student,valid
20234008,r3a216,中村悠斗,student,valid
20234009,r3a231,清水優奈,student,valid
20234010,r3a123,小林陸,student,valid
20234011,r3a239,前田彩香,student,valid
20234012,r3a137,林結衣,student,valid
20234013,r3a122,山田海斗,student,valid
20234015,r3a138,吉田健太,student,valid
20234016,r3a111,渡辺翔太,student,valid
20234017,r3a143,田中杏奈,student,valid
20234018,r3a134,井上陸,student,valid
20234019,r3a101,高橋大輔,student,valid
20234020,r3a113,井上陸,student,valid
20234021,r3a232,前田遥,student,valid
20234022,r3a105,中村遥,student,valid
20234023,r3a234,井上翔太,student,valid
20234024,r3a208,鈴木太郎,student,valid
20234025,r3a201,鈴木美咲,student,valid
20234026,r3a225,阿部陽菜,student,valid
20234027,r3a237,池田美咲,student,valid
20234028,r3a220,前田陸,student,valid
20234029,r3a112,山口悠斗,student,valid
20234030,r3a215,斎藤優樹,student,valid
20234031,r3a114,鈴木悠斗,student,valid
20234032,r3a125,山崎美咲,student,valid
20234033,r3a132,山下直樹,student,valid
20234034,r3a227,加藤優奈,student,valid
