user_no,user_name,class_no,course_class,events_count,briefing_count,interview_count,inactivity_days,start_delay_days,two_week_violation_rate,dev_inactivity,dev_start_delay,dev_events,dev_two_week_violation,excluded_good,followup_candidate
20204054,伊藤大輔,r3a208,R,3,2,0,997,-376,0.5,57.46343443993275,42.28500164051822,57.212223710260766,61.16794970046793,False,True
20224046,山口結衣,r3a106,R,3,2,0,266,362,1.0,43.319095916651,56.45818802810398,57.212223710260766,79.38570857512309,False,True
20224040,中島凛,r3a225,R,3,2,0,262,358,1.0,43.241698715429216,56.38136858968888,57.212223710260766,79.38570857512309,False,True
20203059,石川拓也,s2a205,S,2,1,0,1362,-720,0.0,64.31105741107862,35.981362604758715,61.71497276650723,44.883919731827774,True,True
20203026,小林優奈,s2a401,S,2,1,0,1356,-711,0.0,64.19618426030834,36.15410340305923,61.71497276650723,44.883919731827774,True,True
20212048,田中凛,j2a108,J,2,2,0,1376,-732,0.0,64.24694501143195,36.028806549845896,60.07032963654247,46.21705030408876,True,True
20212031,加藤優樹,j2a110,J,2,1,0,1365,-722,0.0,64.0355884903202,36.220646792034806,60.07032963654247,46.21705030408876,True,True
20194055,清水美咲,r3a128,R,6,3,0,1355,-748,0.4,64.39048394928277,35.14079386791401,49.33056417400382,57.5243979255369,True,True
20203052,加藤悠斗,s2a101,S,3,2,0,1354,-718,0.0,64.15789321005158,36.01974944882549,58.87163977143774,44.883919731827774,True,True
20234074,木村優樹,r3a106,R,2,1,0,-84,721,1.0,36.54684080974455,63.35273262585912,59.83944355567975,79.38570857512309,False,True
20234018,井上陸,r3a134,R,2,1,0,-103,751,1.0,36.17920410394106,63.92887841397236,59.83944355567975,79.38570857512309,False,True
20234084,藤田彩香,r3a141,R,2,1,0,-107,727,1.0,36.101806902719275,63.46796178348177,59.83944355567975,79.38570857512309,False,True
20234066,木村優奈,r3a226,R,2,1,0,-86,677,1.0,36.50814220913366,62.50771880329303,59.83944355567975,79.38570857512309,False,True
20222047,山本陽菜,j2a104,J,1,1,0,1012,-363,0.0,57.252965585552055,43.10771148661671,62.96895154543915,46.21705030408876,False,True
20222034,渡辺拓也,j1a109,J,1,1,0,1000,-351,0.0,57.02239483524832,43.3379197772434,62.96895154543915,46.21705030408876,False,True
20222003,井上太郎,j1a105,J,1,0,0,997,-348,0.0,56.964752147672385,43.395471849900076,62.96895154543915,46.21705030408876,False,True
20204061,佐藤直樹,r3a117,R,4,2,0,995,-353,0.3333333333333333,57.424735839321855,42.726713411405036,54.58500386484178,55.095363408916214,True,True
20203031,中島拓也,s2a114,S,4,2,0,1357,-721,0.0,64.21532978543672,35.96216918272532,56.028306776368254,44.883919731827774,True,True
20203056,林結衣,s2a413,S,4,2,0,1359,-725,0.0,64.25362083569348,35.885395494591755,56.028306776368254,44.883919731827774,True,True
20214073,加藤遥,r3a139,R,3,2,0,643,-3,0.5,50.61378213180451,49.4484142727262,57.212223710260766,61.16794970046793,False,True
20214021,石川優樹,r3a206,R,3,1,0,633,8,0.5,50.42028912875004,49.65966772836772,57.212223710260766,61.16794970046793,False,True
20203035,山本凛,s2a112,S,4,1,0,1356,-734,0.0,64.19618426030834,35.71265469629123,56.028306776368254,44.883919731827774,True,True
20204041,渡辺美咲,r3a133,R,1,0,0,1018,-355,0.0,57.86976974634713,42.688303692197486,62.466663401098735,42.95019082581278,False,True
20213025,伊藤美咲,s2a211,S,2,1,0,1007,-359,0.0,57.51439599050383,42.91018795881296,61.71497276650723,44.883919731827774,True,True
20204056,木村悠斗,r3a238,R,1,0,0,1002,-339,0.0,57.56018094145998,42.99558144585789,62.466663401098735,42.95019082581278,False,True
20213015,池田大輔,s2a201,S,2,1,0,1000,-358,0.0,57.38037731460517,42.92938138084635,61.71497276650723,44.883919731827774,True,True
20204023,井上杏奈,r3a220,R,1,0,0,994,-331,0.0,57.405386539016405,43.14922032268808,62.466663401098735,42.95019082581278,False,True
20242013,高橋凛,j2a117,J,3,1,0,261,368,0.5,42.82307946237676,57.1312331906261,57.17170772764578,67.70284039971568,False,True
20213050,田中優奈,s2a102,S,3,1,0,994,-351,0.0,57.26550416383489,43.06373533508009,58.87163977143774,44.883919731827774,True,True
20213048,吉田優樹,s2a210,S,3,2,0,989,-356,0.0,57.16977653819299,42.96776822491314,58.87163977143774,44.883919731827774,True,True
20243058,橋本陸,s2a206,S,3,2,0,-105,715,0.5,36.22457204774558,63.523923222675194,58.87163977143774,73.25235074763314,True,True
20223055,清水遥,s2a307,S,1,1,0,626,24,0.0,50.21995091659115,50.26126859760182,64.55830576157672,44.883919731827774,False,True
20223034,石川結衣,s2a404,S,1,0,0,625,25,0.0,50.20080539146277,50.280462019635216,64.55830576157672,44.883919731827774,False,True
20223030,中村遥,s2a407,S,1,1,0,623,27,0.0,50.16251434120601,50.318848863701994,64.55830576157672,44.883919731827774,False,True
20232017,渡辺結衣,j2a108,J,1,1,0,652,-3,0.0,50.335843076440064,50.013960205417504,62.96895154543915,46.21705030408876,False,True
20204030,池田太郎,r3a215,R,3,3,0,995,-345,0.0,57.424735839321855,42.88035228823524,57.212223710260766,42.95019082581278,True,True
20232020,山田太郎,j1a117,J,1,1,0,640,9,0.0,50.10527232613633,50.244168496044196,62.96895154543915,46.21705030408876,False,True
20224020,吉田優樹,r3a102,R,3,1,0,286,356,0.5,43.70608192275994,56.34295887048133,57.212223710260766,61.16794970046793,False,True
20213010,田中直樹,s2a304,S,4,2,0,990,-355,0.0,57.18892206332137,42.986961646946526,56.028306776368254,44.883919731827774,True,True
20224044,田中結衣,r3a227,R,3,1,0,263,373,0.5,43.26104801573466,56.6694414837455,57.212223710260766,61.16794970046793,False,True
20222014,藤田健太,j1a122,J,4,2,0,992,-360,0.0,56.868681001712496,43.165263559273384,54.2730858187491,46.21705030408876,True,True
20214026,田中陸,r3a235,R,1,0,0,657,6,0.0,50.884672336080776,49.62125800916017,62.466663401098735,42.95019082581278,False,True
20214029,橋本拓也,r3a115,R,1,0,0,649,14,0.0,50.7298779336372,49.77489688599037,62.466663401098735,42.95019082581278,False,True
20214064,松本美咲,r3a124,R,1,0,0,646,17,0.0,50.671830032720855,49.8325114648017,62.466663401098735,42.95019082581278,False,True
20214083,池田海斗,r3a222,R,1,0,0,630,33,0.0,50.36224122783371,50.13978921846209,62.466663401098735,42.95019082581278,False,True
20223044,佐々木美咲,s2a301,S,2,1,0,627,15,0.0,50.23909644171953,50.0885277993013,61.71497276650723,44.883919731827774,True,True
20204060,山本凛,r3a136,R,4,2,0,993,-339,0.0,57.38603723871096,42.99558144585789,54.58500386484178,42.95019082581278,True,True
20232008,山崎太郎,j1a112,J,2,1,0,636,9,0.0,50.02841540936842,50.244168496044196,60.07032963654247,46.21705030408876,True,True
20252015,松本陽菜,j2a107,J,3,2,0,-95,728,0.5,35.982813870032686,64.0374819094269,57.17170772764578,67.70284039971568,True,True
20214016,加藤葵,r3a208,R,2,1,0,658,2,0.0,50.90402163638622,49.54443857074507,59.83944355567975,42.95019082581278,True,True
20214050,佐々木遥,r3a217,R,2,2,0,627,31,0.0,50.304193326917364,50.10137949925454,59.83944355567975,42.95019082581278,True,True
20214052,鈴木凛,r3a221,R,2,1,0,625,24,0.0,50.26549472630647,49.966945482028116,59.83944355567975,42.95019082581278,True,True
20232032,小林健太,j1a107,J,3,2,0,634,11,0.0,49.989986950984466,50.28253654448198,57.17170772764578,46.21705030408876,True,True
20233039,伊藤結衣,s2a105,S,1,1,0,271,379,0.0,43.42328949601635,57.074933419455725,64.55830576157672,44.883919731827774,False,True
20233053,吉田葵,s2a404,S,5,3,0,259,361,0.25,43.193543194475794,56.729451822854685,53.184973781298766,59.06813523973046,True,True
20242032,前田拓也,j2a120,J,1,0,0,277,372,0.0,43.130507129448404,57.20796928750166,62.96895154543915,46.21705030408876,False,True
20214088,小林太郎,r3a103,R,3,2,0,623,27,0.0,50.22679612569557,50.02456006083944,57.212223710260766,42.95019082581278,True,True
20242033,山下健太,j1a101,J,1,0,0,269,380,0.0,42.976793295912586,57.3614414812528,62.96895154543915,46.21705030408876,False,True
20242040,佐藤杏奈,j2a114,J,1,0,0,265,384,0.0,42.89993637914468,57.438177578128354,62.96895154543915,46.21705030408876,False,True
20242005,清水葵,j1a110,J,1,0,0,261,388,0.0,42.82307946237676,57.514913675003925,62.96895154543915,46.21705030408876,False,True
20242018,松本悠斗,j2a107,J,1,0,0,261,388,0.0,42.82307946237676,57.514913675003925,62.96895154543915,46.21705030408876,False,True
20234058,佐藤健太,r3a133,R,3,1,0,-101,743,0.5,36.21790270455196,63.77523953714216,57.212223710260766,61.16794970046793,False,True
20224037,鈴木結衣,r3a207,R,1,0,0,324,339,0.0,44.441355334366925,56.016476257217164,62.466663401098735,42.95019082581278,False,True
20224087,渡辺悠斗,r3a122,R,1,1,0,313,350,0.0,44.22851303100701,56.22772971285869,62.466663401098735,42.95019082581278,False,True
20232036,林拓也,j2a110,J,4,3,0,626,0,0.0,49.83627311744864,50.071512278074174,54.2730858187491,46.21705030408876,True,True
20233018,林結衣,s2a405,S,2,1,0,278,365,0.0,43.55730817191501,56.80622551098825,61.71497276650723,44.883919731827774,True,True
20224027,田中拓也,r3a107,R,1,1,0,288,375,0.0,43.744780523370835,56.70785120295305,62.466663401098735,42.95019082581278,False,True
20233031,伊藤美咲,s2a301,S,2,1,0,271,375,0.0,43.42328949601635,56.99815973132216,61.71497276650723,44.883919731827774,True,True
20233027,吉田凛,s2a109,S,2,0,0,269,377,0.0,43.38499844575959,57.03654657538894,61.71497276650723,44.883919731827774,True,True
20233006,池田彩香,s2a110,S,2,1,0,269,368,0.0,43.38499844575959,56.86380577708842,61.71497276650723,44.883919731827774,True,True
20233022,木村杏奈,s2a114,S,2,1,0,259,381,0.0,43.193543194475794,57.11332026352251,61.71497276650723,44.883919731827774,True,True
20224086,木村陸,r3a210,R,1,0,0,259,404,0.0,43.18365081451287,57.26479213146252,62.466663401098735,42.95019082581278,False,True
20242030,斎藤杏奈,j2a103,J,2,1,0,287,354,0.0,43.32264942136818,56.862656851561624,60.07032963654247,46.21705030408876,True,True
20242047,井上美咲,j1a111,J,2,1,0,277,370,0.0,43.130507129448404,57.16960123906388,60.07032963654247,46.21705030408876,True,True
20242035,山本翔太,j1a121,J,2,1,0,264,376,0.0,42.880722149952696,57.284705384377226,60.07032963654247,46.21705030408876,True,True
20242019,田中海斗,j2a115,J,5,3,0,262,346,0.25,42.84229369156874,56.709184657810496,51.374463909852416,56.95994535190222,True,True
20224060,清水拓也,r3a138,R,2,2,0,284,373,0.0,43.66738332214905,56.6694414837455,59.83944355567975,42.95019082581278,True,True
20233008,佐々木海斗,s2a408,S,3,1,0,258,386,0.0,43.174397669347414,57.20928737368946,58.87163977143774,44.883919731827774,True,True
20214015,中島凛,r3a241,R,5,3,0,626,10,0.0,50.284844026611914,49.69807744757527,51.9577840194228,42.95019082581278,True,True
20242043,木村健太,j2a105,J,3,1,0,263,379,0.0,42.861507920760715,57.3422574570339,57.17170772764578,46.21705030408876,True,True
20243045,山下大輔,s2a302,S,1,1,0,-71,721,0.0,36.87551990211049,63.63908375487554,64.55830576157672,44.883919731827774,False,True
20242022,佐藤彩香,j1a114,J,3,2,0,267,359,0.0,42.93836483752863,56.95857697265608,57.17170772764578,46.21705030408876,True,True
20242026,松本悠斗,j1a112,J,3,2,0,258,374,0.0,42.76543677480083,57.246337335939444,57.17170772764578,46.21705030408876,True,True
20243057,井上陽菜,s2a312,S,1,0,0,-106,756,0.0,36.2054265226172,64.31085352604424,64.55830576157672,44.883919731827774,False,True
20233046,中島遥,s2a112,S,4,2,0,266,371,0.0,43.32756187037445,56.9213860431886,56.028306776368254,44.883919731827774,True,True
20252003,加藤海斗,j1a112,J,1,0,0,-92,741,0.0,36.04045655760862,64.28687422427248,62.96895154543915,46.21705030408876,False,True
20252009,清水優奈,j2a116,J,1,0,0,-105,754,0.0,35.79067157811291,64.53626653911806,62.96895154543915,46.21705030408876,False,True
20234053,伊藤陸,r3a139,R,1,0,0,-58,721,0.0,37.04992261768618,63.35273262585912,62.466663401098735,42.95019082581278,False,True
20234002,加藤拓也,r3a129,R,1,1,0,-67,730,0.0,36.87577891493716,63.525576362293094,62.466663401098735,42.95019082581278,False,True
20243031,林翔太,s2a105,S,2,1,0,-103,747,0.0,36.26286309800234,64.13811272774372,61.71497276650723,44.883919731827774,True,True
20224029,前田彩香,r3a124,R,6,4,0,260,367,0.2,43.203000114818316,56.55421232612286,49.33056417400382,50.23729437567484,True,True
20234041,小林遥,r3a214,R,1,0,0,-104,767,0.0,36.15985480363562,64.23615616763276,62.466663401098735,42.95019082581278,False,True
20252023,木村葵,j1a109,J,2,1,0,-88,731,0.0,36.11731347437653,64.09503398208356,60.07032963654247,46.21705030408876,True,True
20252045,藤田拓也,j1a108,J,5,3,0,-98,724,0.25,35.92517118245675,63.96074581255133,51.374463909852416,56.95994535190222,True,True
20234013,山田海斗,r3a122,R,2,1,0,-66,723,0.0,36.8951282152426,63.39114234506667,59.83944355567975,42.95019082581278,True,True
20234034,加藤優奈,r3a227,R,6,3,0,-103,707,0.4,36.17920410394106,63.083864591406275,49.33056417400382,57.5243979255369,True,True
20234040,斎藤優奈,r3a110,R,2,1,0,-77,727,0.0,36.68228591188269,63.46796178348177,59.83944355567975,42.95019082581278,True,True
20243041,高橋美咲,s2a205,S,3,2,0,-106,740,0.0,36.2054265226172,64.00375877350997,58.87163977143774,44.883919731827774,True,True
20234065,井上太郎,r3a142,R,3,2,0,-87,746,0.0,36.488792908828216,63.83285411595349,57.212223710260766,42.95019082581278,True,True
20242012,前田陸,j2a112,J,6,4,0,261,356,0.0,42.82307946237676,56.901024899999406,48.47584200095574,46.21705030408876,True,True
20243021,清水美咲,s2a305,S,4,2,0,-90,722,0.0,36.51175492467127,63.65827717690894,56.028306776368254,44.883919731827774,True,True
20252002,井上太郎,j2a105,J,5,3,0,-99,724,0.0,35.90595695326478,63.96074581255133,51.374463909852416,46.21705030408876,True,True
20252001,伊藤直樹,j1a116,J,5,3,0,-105,734,0.0,35.79067157811291,64.15258605474024,51.374463909852416,46.21705030408876,True,True
