user_no,class_no,user_name,start_datetime,end_datetime,company_name,event_kind,result_kind
20194042,r3a110,石川陸,2022-02-08 04:00:00+00,2022-02-08 05:30:00+00,株式会社ブルーム,試験_適正,結果待ち
20194025,r3a116,小林太郎,2022-02-08 04:00:00+00,2022-02-08 05:00:00+00,株式会社オービット,インターン,他
20194020,r3a228,橋本杏奈,2022-02-09 06:00:00+00,2022-02-09 07:00:00+00,株式会社プライム,説明会_合,他
20194055,r3a128,清水美咲,2022-02-10 04:00:00+00,2022-02-10 05:30:00+00,株式会社ホライズン,試験_適正,辞退
20203053,s2a109,山下直樹,2022-02-11 01:00:00+00,2022-02-11 02:00:00+00,株式会社クレスト,説明会_単,他
20194030,r3a135,伊藤陸,2022-02-11 01:00:00+00,2022-02-11 02:00:00+00,株式会社フォーカス,説明会_単,他
20194077,r3a137,高橋陸,2022-02-12 01:00:00+00,2022-02-12 02:00:00+00,株式会社フォース,説明会_合,他
20194066,r3a125,林遥,2022-02-13 04:00:00+00,2022-02-13 05:30:00+00,株式会社リンク,試験_適正,不合格
20212025,j2a116,橋本大輔,2022-02-13 06:00:00+00,2022-02-13 07:00:00+00,株式会社リーフ,セミナー,他
20203028,s2a411,清水悠斗,2022-02-13 06:00:00+00,2022-02-13 07:00:00+00,株式会社クラフト,説明会_合,他
20194025,r3a116,小林太郎,2022-02-14 06:00:00+00,2022-02-14 07:00:00+00,株式会社ハーモニー,説明会_合,他
20194086,r3a214,池田凛,2022-02-15 01:00:00+00,2022-02-15 01:45:00+00,株式会社エンジン,試験_面接,継続（合格）
20194039,r3a136,鈴木健太,2022-02-15 01:00:00+00,2022-02-15 02:30:00+00,株式会社レイヤー,試験_適正,不合格
20194046,r3a208,鈴木太郎,2022-02-15 04:00:00+00,2022-02-15 04:45:00+00,株式会社サンライズ,試験_面接,継続（合格）
20194035,r3a236,中村翔太,2022-02-15 06:00:00+00,2022-02-15 07:00:00+00,株式会社ガンマ,インターン,他
20194036,r3a205,鈴木杏奈,2022-02-15 06:00:00+00,2022-02-15 07:30:00+00,株式会社ブリッジ,試験_適正,結果待ち
20194012,r3a215,木村彩香,2022-02-16 01:00:00+00,2022-02-16 02:00:00+00,株式会社アトラス,セミナー,他
20212001,j1a104,渡辺優奈,2022-02-16 04:00:00+00,2022-02-16 05:00:00+00,株式会社アーク,セミナー,他
20194048,r3a216,阿部彩香,2022-02-16 04:00:00+00,2022-02-16 05:00:00+00,株式会社イノベーション,セミナー,他
20194077,r3a137,高橋陸,2022-02-16 06:00:00+00,2022-02-16 07:00:00+00,株式会社リーフ,インターン,他
20203018,s2a111,田中海斗,2022-02-16 06:00:00+00,2022-02-16 07:00:00+00,株式会社マーブル,セミナー,他
20212046,j1a112,鈴木美咲,2022-02-17 06:00:00+00,2022-02-17 07:00:00+00,株式会社ミライ,説明会_合,他
20194046,r3a208,鈴木太郎,2022-02-17 06:00:00+00,2022-02-17 07:30:00+00,株式会社リーフ,試験_適正,継続（合格）
20203029,s2a308,伊藤太郎,2022-02-18 01:00:00+00,2022-02-18 02:30:00+00,株式会社クラフト,試験_適正,継続（合格）
20194059,r3a102,小林優樹,2022-02-18 04:00:00+00,2022-02-18 04:45:00+00,株式会社オービット,試験_面接,不合格
20194075,r3a103,加藤彩香,2022-02-18 04:00:00+00,2022-02-18 04:30:00+00,株式会社ネクスト,試験_他,内定
20194008,r3a124,吉田大輔,2022-02-18 04:00:00+00,2022-02-18 04:45:00+00,株式会社エンジン,試験_面接,継続（合格）
20203057,s2a211,鈴木海斗,2022-02-18 04:00:00+00,2022-02-18 05:00:00+00,株式会社モデスト,セミナー,他
20194077,r3a137,高橋陸,2022-02-18 06:00:00+00,2022-02-18 07:30:00+00,株式会社グリーン,試験_適正,継続（合格）
20194089,r3a210,佐藤凛,2022-02-19 01:00:00+00,2022-02-19 01:45:00+00,株式会社エコー,試験_面接,不合格
20194067,r3a220,阿部遥,2022-02-19 01:00:00+00,2022-02-19 02:00:00+00,株式会社ガンマ,説明会_合,他
20194009,r3a230,伊藤花子,2022-02-19 04:00:00+00,2022-02-19 05:00:00+00,株式会社エンジン,説明会_単,他
20203042,s2a212,橋本陽菜,2022-02-19 04:00:00+00,2022-02-19 05:00:00+00,株式会社ユニオン,インターン,他
20203003,s2a311,山下陸,2022-02-19 04:00:00+00,2022-02-19 04:45:00+00,株式会社ミライ,試験_面接,結果待ち
20194088,r3a101,山田大輔,2022-02-20 01:00:00+00,2022-02-20 01:45:00+00,株式会社エコー,試験_面接,結果待ち
20194075,r3a103,加藤彩香,2022-02-20 01:00:00+00,2022-02-20 02:30:00+00,株式会社シード,試験_適正,継続（合格）
20194028,r3a107,高橋陽菜,2022-02-20 01:00:00+00,2022-02-20 02:00:00+00,株式会社テックワークス,説明会_単,他
20194066,r3a125,林遥,2022-02-20 01:00:00+00,2022-02-20 01:45:00+00,株式会社デルタ,試験_面接,不合格
20194077,r3a137,高橋陸,2022-02-20 01:00:00+00,2022-02-20 02:30:00+00,株式会社リーフ,試験_適正,結果待ち
20194040,r3a109,田中直樹,2022-02-20 04:00:00+00,2022-02-20 05:00:00+00,株式会社ミライ,セミナー,他
20194031,r3a122,渡辺結衣,2022-02-20 04:00:00+00,2022-02-20 05:30:00+00,株式会社スカイ,試験_適正,継続（合格）
20194014,r3a106,山田太郎,2022-02-20 06:00:00+00,2022-02-20 07:30:00+00,株式会社アルファ,試験_適正,不合格
20194016,r3a209,田中陽菜,2022-02-20 06:00:00+00,2022-02-20 07:30:00+00,株式会社ユニオン,試験_適正,結果待ち
20194023,r3a221,池田彩香,2022-02-20 06:00:00+00,2022-02-20 06:45:00+00,株式会社ブリッジ,試験_面接,継続（合格）
20194066,r3a125,林遥,2022-02-21 01:00:00+00,2022-02-21 02:00:00+00,株式会社ホライズン,説明会_単,他
20194005,r3a131,池田悠斗,2022-02-21 01:00:00+00,2022-02-21 01:30:00+00,株式会社グロース,試験_他,内定
20203003,s2a311,山下陸,2022-02-21 01:00:00+00,2022-02-21 01:45:00+00,株式会社ミライ,試験_面接,継続（合格）
20194016,r3a209,田中陽菜,2022-02-21 04:00:00+00,2022-02-21 05:00:00+00,株式会社ユニオン,セミナー,他
20194021,r3a237,山口太郎,2022-02-21 04:00:00+00,2022-02-21 04:45:00+00,株式会社グリーン,試験_面接,不合格
20194028,r3a107,高橋陽菜,2022-02-21 06:00:00+00,2022-02-21 06:45:00+00,株式会社フォーカス,試験_面接,継続（合格）
20194030,r3a135,伊藤陸,2022-02-21 06:00:00+00,2022-02-21 06:45:00+00,株式会社ブルーム,試験_面接,結果待ち
20194046,r3a208,鈴木太郎,2022-02-21 06:00:00+00,2022-02-21 07:30:00+00,株式会社アルファ,試験_適正,結果待ち
20212034,j2a115,中島優奈,2022-02-22 01:00:00+00,2022-02-22 02:00:00+00,株式会社イプシロン,説明会_単,他
20194033,r3a138,佐藤陸,2022-02-22 01:00:00+00,2022-02-22 02:00:00+00,株式会社マーブル,説明会_合,他
20203046,s2a209,中島美咲,2022-02-22 01:00:00+00,2022-02-22 02:00:00+00,株式会社ガンマ,説明会_単,他
20194025,r3a116,小林太郎,2022-02-22 04:00:00+00,2022-02-22 05:30:00+00,株式会社パルス,試験_適正,不合格
20194009,r3a230,伊藤花子,2022-02-22 04:00:00+00,2022-02-22 05:30:00+00,株式会社エンジン,試験_適正,継続（合格）
20203015,s2a412,井上海斗,2022-02-22 04:00:00+00,2022-02-22 05:30:00+00,株式会社テックワークス,試験_適正,継続（合格）
20212050,j1a105,林優樹,2022-02-22 06:00:00+00,2022-02-22 07:00:00+00,株式会社ルミナス,インターン,他
20194086,r3a214,池田凛,2022-02-22 06:00:00+00,2022-02-22 07:00:00+00,株式会社アーク,インターン,他
20203051,s2a304,山崎陸,2022-02-23 01:00:00+00,2022-02-23 02:00:00+00,株式会社イプシロン,説明会_単,他
20212044,j1a120,林優樹,2022-02-23 04:00:00+00,2022-02-23 05:00:00+00,株式会社オメガ,説明会_合,他
20212025,j2a116,橋本大輔,2022-02-23 04:00:00+00,2022-02-23 05:00:00+00,株式会社リーフ,説明会_単,他
20203009,s2a313,前田太郎,2022-02-23 04:00:00+00,2022-02-23 05:00:00+00,株式会社アーク,インターン,他
20212026,j1a111,佐藤凛,2022-02-23 06:00:00+00,2022-02-23 07:00:00+00,株式会社レイヤー,インターン,他
20194015,r3a225,阿部拓也,2022-02-23 06:00:00+00,2022-02-23 07:30:00+00,株式会社ミライ,試験_適正,結果待ち
20203001,s2a107,鈴木結衣,2022-02-24 01:00:00+00,2022-02-24 02:00:00+00,株式会社ブルーム,説明会_合,他
20212038,j1a102,高橋健太,2022-02-24 04:00:00+00,2022-02-24 05:00:00+00,株式会社ブリッジ,インターン,他
20194050,r3a204,藤田直樹,2022-02-24 06:00:00+00,2022-02-24 06:45:00+00,株式会社レイヤー,試験_面接,辞退
20194083,r3a213,伊藤葵,2022-02-24 06:00:00+00,2022-02-24 06:45:00+00,株式会社デルタ,試験_面接,継続（合格）
20212042,j2a103,森葵,2022-02-25 01:00:00+00,2022-02-25 02:00:00+00,株式会社ミライ,インターン,他
20194075,r3a103,加藤彩香,2022-02-25 01:00:00+00,2022-02-25 01:45:00+00,株式会社シード,試験_面接,継続（合格）
20203019,s2a105,山崎拓也,2022-02-25 01:00:00+00,2022-02-25 02:00:00+00,株式会社フォース,説明会_合,他
20203015,s2a412,井上海斗,2022-02-25 01:00:00+00,2022-02-25 02:00:00+00,株式会社アーク,説明会_合,他
20194070,r3a104,佐々木直樹,2022-02-25 06:00:00+00,2022-02-25 07:00:00+00,株式会社リンク,説明会_合,他
20194066,r3a125,林遥,2022-02-25 06:00:00+00,2022-02-25 07:00:00+00,株式会社ホライズン,セミナー,他
20194046,r3a208,鈴木太郎,2022-02-25 06:00:00+00,2022-02-25 06:45:00+00,株式会社ライト,試験_面接,不合格
20203049,s2a307,鈴木陸,2022-02-26 01:00:00+00,2022-02-26 01:45:00+00,株式会社フロンティア,試験_面接,結果待ち
20212008,j2a119,山崎陸,2022-02-26 04:00:00+00,2022-02-26 05:00:00+00,株式会社クロス,インターン,他
20212044,j1a120,林優樹,2022-02-27 01:00:00+00,2022-02-27 02:00:00+00,株式会社パルス,セミナー,他
20194047,r3a203,鈴木優奈,2022-02-27 01:00:00+00,2022-02-27 01:45:00+00,株式会社ハーモニー,試験_面接,結果待ち
20194062,r3a207,佐々木海斗,2022-02-27 01:00:00+00,2022-02-27 02:30:00+00,株式会社デルタ,試験_適正,継続（合格）
20194041,r3a226,森花子,2022-02-27 01:00:00+00,2022-02-27 01:45:00+00,株式会社オーシャン,試験_面接,継続（合格）
20194020,r3a228,橋本杏奈,2022-02-27 01:00:00+00,2022-02-27 02:30:00+00,株式会社プライム,試験_適正,不合格
20203014,s2a407,池田優奈,2022-02-27 01:00:00+00,2022-02-27 02:30:00+00,株式会社テックワークス,試験_適正,結果待ち
20194001,r3a123,林健太,2022-02-27 04:00:00+00,2022-02-27 04:45:00+00,株式会社クロス,試験_面接,継続（合格）
20194008,r3a124,吉田大輔,2022-02-27 04:00:00+00,2022-02-27 05:30:00+00,株式会社プライム,試験_適正,結果待ち
20194046,r3a208,鈴木太郎,2022-02-27 04:00:00+00,2022-02-27 04:45:00+00,株式会社サンライズ,試験_面接,結果待ち
20194086,r3a214,池田凛,2022-02-27 06:00:00+00,2022-02-27 06:45:00+00,株式会社アーク,試験_面接,継続（合格）
20194021,r3a237,山口太郎,2022-02-27 06:00:00+00,2022-02-27 07:30:00+00,株式会社グリーン,試験_適正,継続（合格）
20212017,j1a122,木村優樹,2022-02-28 01:00:00+00,2022-02-28 02:00:00+00,株式会社マーブル,セミナー,他
20194003,r3a111,田中優奈,2022-02-28 01:00:00+00,2022-02-28 02:00:00+00,株式会社ライト,説明会_単,他
20194084,r3a233,田中直樹,2022-02-28 01:00:00+00,2022-02-28 02:00:00+00,株式会社ルミナス,セミナー,他
20212021,j1a117,鈴木海斗,2022-02-28 04:00:00+00,2022-02-28 05:00:00+00,株式会社ホライズン,説明会_単,他
20194015,r3a225,阿部拓也,2022-02-28 04:00:00+00,2022-02-28 04:45:00+00,株式会社アビリティ,試験_面接,結果待ち
20194031,r3a122,渡辺結衣,2022-02-28 06:00:00+00,2022-02-28 07:00:00+00,株式会社フォース,インターン,他
20194084,r3a233,田中直樹,2022-02-28 06:00:00+00,2022-02-28 07:00:00+00,株式会社ノヴァ,インターン,他
20194011,r3a108,山田美咲,2022-03-01 01:00:00+00,2022-03-01 02:00:00+00,株式会社クロス,説明会_単,他
20194067,r3a220,阿部遥,2022-03-01 01:00:00+00,2022-03-01 01:45:00+00,株式会社シード,試験_面接,結果待ち
20194085,r3a222,前田拓也,2022-03-01 01:00:00+00,2022-03-01 02:00:00+00,株式会社コア,セミナー,他
20203027,s2a108,佐藤健太,2022-03-01 01:00:00+00,2022-03-01 02:30:00+00,株式会社パルス,試験_適正,結果待ち
20203035,s2a112,山本凛,2022-03-01 01:00:00+00,2022-03-01 02:00:00+00,株式会社シード,インターン,他
20203045,s2a309,加藤海斗,2022-03-01 01:00:00+00,2022-03-01 02:00:00+00,株式会社オメガ,セミナー,他
20194069,r3a134,池田美咲,2022-03-01 04:00:00+00,2022-03-01 05:30:00+00,株式会社イプシロン,試験_適正,結果待ち
20194016,r3a209,田中陽菜,2022-03-01 04:00:00+00,2022-03-01 05:00:00+00,株式会社コア,セミナー,他
20203047,s2a204,小林優奈,2022-03-01 04:00:00+00,2022-03-01 05:30:00+00,株式会社ホライズン,試験_適正,結果待ち
20194040,r3a109,田中直樹,2022-03-01 06:00:00+00,2022-03-01 06:45:00+00,株式会社ブルーム,試験_面接,不合格
20194067,r3a220,阿部遥,2022-03-01 06:00:00+00,2022-03-01 06:45:00+00,株式会社ストリーム,試験_面接,不合格
20194042,r3a110,石川陸,2022-03-02 01:00:00+00,2022-03-02 02:00:00+00,株式会社イプシロン,説明会_合,他
20194031,r3a122,渡辺結衣,2022-03-02 01:00:00+00,2022-03-02 02:30:00+00,株式会社フォース,試験_適正,不合格
20194012,r3a215,木村彩香,2022-03-02 01:00:00+00,2022-03-02 01:45:00+00,株式会社イノベーション,試験_面接,継続（合格）
20194041,r3a226,森花子,2022-03-02 01:00:00+00,2022-03-02 02:30:00+00,株式会社デルタ,試験_適正,結果待ち
20203058,s2a206,井上花子,2022-03-02 01:00:00+00,2022-03-02 01:45:00+00,株式会社ノヴァ,試験_面接,継続（合格）
20203046,s2a209,中島美咲,2022-03-02 01:00:00+00,2022-03-02 02:30:00+00,株式会社フォース,試験_適正,継続（合格）
20203010,s2a402,田中陽菜,2022-03-02 01:00:00+00,2022-03-02 02:30:00+00,株式会社パルス,試験_適正,結果待ち
20203036,s2a403,斎藤凛,2022-03-02 01:00:00+00,2022-03-02 02:30:00+00,株式会社グリーン,試験_適正,結果待ち
20203041,s2a405,中村陸,2022-03-02 01:00:00+00,2022-03-02 02:30:00+00,株式会社ベータ,試験_適正,不合格
20212036,j1a101,池田凛,2022-03-02 04:00:00+00,2022-03-02 05:00:00+00,株式会社ハーモニー,説明会_合,他
20212015,j2a121,木村遥,2022-03-02 04:00:00+00,2022-03-02 05:00:00+00,株式会社ホライズン,セミナー,他
20203043,s2a213,鈴木彩香,2022-03-02 04:00:00+00,2022-03-02 05:00:00+00,株式会社マーブル,説明会_単,他
20212012,j1a119,山口太郎,2022-03-02 06:00:00+00,2022-03-02 07:00:00+00,株式会社パルス,インターン,他
20212004,j2a107,山口優樹,2022-03-02 06:00:00+00,2022-03-02 07:00:00+00,株式会社アトラス,インターン,他
20194001,r3a123,林健太,2022-03-02 06:00:00+00,2022-03-02 06:45:00+00,株式会社クロス,試験_面接,結果待ち
20194069,r3a134,池田美咲,2022-03-02 06:00:00+00,2022-03-02 07:00:00+00,株式会社アセント,セミナー,他
20194002,r3a201,中島凛,2022-03-02 06:00:00+00,2022-03-02 07:30:00+00,株式会社エコー,試験_適正,辞退
20194022,r3a212,加藤悠斗,2022-03-02 06:00:00+00,2022-03-02 06:45:00+00,株式会社モデスト,試験_面接,不合格
20203042,s2a212,橋本陽菜,2022-03-02 06:00:00+00,2022-03-02 07:00:00+00,株式会社ステラ,セミナー,他
20212009,j1a107,渡辺凛,2022-03-03 01:00:00+00,2022-03-03 02:00:00+00,株式会社エンジン,インターン,他
20194011,r3a108,山田美咲,2022-03-03 01:00:00+00,2022-03-03 02:00:00+00,株式会社クロス,説明会_単,他
20194015,r3a225,阿部拓也,2022-03-03 01:00:00+00,2022-03-03 02:30:00+00,株式会社アビリティ,試験_適正,継続（合格）
20203012,s2a301,林太郎,2022-03-03 01:00:00+00,2022-03-03 01:45:00+00,株式会社ハーモニー,試験_面接,結果待ち
20212016,j1a109,清水花子,2022-03-03 04:00:00+00,2022-03-03 05:00:00+00,株式会社クロス,インターン,他
20194013,r3a126,池田健太,2022-03-03 04:00:00+00,2022-03-03 04:45:00+00,株式会社シード,試験_面接,結果待ち
20194049,r3a132,高橋彩香,2022-03-03 04:00:00+00,2022-03-03 05:00:00+00,株式会社ネクスト,説明会_合,他
20194087,r3a141,山崎凛,2022-03-03 04:00:00+00,2022-03-03 05:00:00+00,株式会社クラフト,説明会_単,他
20194047,r3a203,鈴木優奈,2022-03-03 04:00:00+00,2022-03-03 04:45:00+00,株式会社アトラス,試験_面接,継続（合格）
20194016,r3a209,田中陽菜,2022-03-03 04:00:00+00,2022-03-03 05:00:00+00,株式会社テックワークス,説明会_単,他
20203050,s2a103,鈴木直樹,2022-03-03 04:00:00+00,2022-03-03 04:45:00+00,株式会社テックワークス,試験_面接,継続（合格）
20203058,s2a206,井上花子,2022-03-03 04:00:00+00,2022-03-03 05:00:00+00,株式会社リンク,インターン,他
20203013,s2a310,渡辺杏奈,2022-03-03 04:00:00+00,2022-03-03 04:45:00+00,株式会社コア,試験_面接,結果待ち
20212045,j1a118,高橋凛,2022-03-03 06:00:00+00,2022-03-03 07:00:00+00,株式会社リンク,セミナー,他
20194057,r3a121,佐々木健太,2022-03-03 06:00:00+00,2022-03-03 06:45:00+00,株式会社エッジ,試験_面接,継続（合格）
20194005,r3a131,池田悠斗,2022-03-03 06:00:00+00,2022-03-03 07:00:00+00,株式会社グロース,内定後活動,内定
20194022,r3a212,加藤悠斗,2022-03-03 06:00:00+00,2022-03-03 07:30:00+00,株式会社オメガ,試験_適正,辞退
20203030,s2a207,前田美咲,2022-03-03 06:00:00+00,2022-03-03 07:00:00+00,株式会社エンジン,セミナー,他
20212020,j1a115,石川陸,2022-03-04 01:00:00+00,2022-03-04 02:00:00+00,株式会社エコー,インターン,他
20194046,r3a208,鈴木太郎,2022-03-04 01:00:00+00,2022-03-04 02:00:00+00,株式会社ライト,セミナー,他
20203022,s2a203,田中遥,2022-03-04 01:00:00+00,2022-03-04 02:00:00+00,株式会社フォース,説明会_合,他
20203020,s2a305,渡辺太郎,2022-03-04 01:00:00+00,2022-03-04 02:30:00+00,株式会社アーク,試験_適正,結果待ち
20203004,s2a408,山下健太,2022-03-04 01:00:00+00,2022-03-04 02:30:00+00,株式会社フォーカス,試験_適正,不合格
20194005,r3a131,池田悠斗,2022-03-04 04:00:00+00,2022-03-04 05:00:00+00,株式会社グロース,説明会_合,他
20194039,r3a136,鈴木健太,2022-03-04 04:00:00+00,2022-03-04 05:30:00+00,株式会社イプシロン,試験_適正,結果待ち
20194061,r3a239,清水美咲,2022-03-04 04:00:00+00,2022-03-04 05:00:00+00,株式会社サンライズ,説明会_単,他
20203022,s2a203,田中遥,2022-03-04 04:00:00+00,2022-03-04 05:30:00+00,株式会社フロンティア,試験_適正,結果待ち
20212012,j1a119,山口太郎,2022-03-04 06:00:00+00,2022-03-04 06:45:00+00,株式会社ストリーム,試験_面接,不合格
20212048,j2a108,田中凛,2022-03-04 06:00:00+00,2022-03-04 07:00:00+00,株式会社パルス,インターン,他
20212005,j2a122,阿部凛,2022-03-04 06:00:00+00,2022-03-04 07:00:00+00,株式会社プライム,説明会_合,他
20194063,r3a115,林海斗,2022-03-04 06:00:00+00,2022-03-04 06:45:00+00,株式会社ビジョン,試験_面接,結果待ち
20194025,r3a116,小林太郎,2022-03-04 06:00:00+00,2022-03-04 07:30:00+00,株式会社ミライ,試験_適正,継続（合格）
20194069,r3a134,池田美咲,2022-03-04 06:00:00+00,2022-03-04 07:30:00+00,株式会社クレスト,試験_適正,不合格
20194030,r3a135,伊藤陸,2022-03-04 06:00:00+00,2022-03-04 07:00:00+00,株式会社ブルーム,セミナー,他
20194046,r3a208,鈴木太郎,2022-03-04 06:00:00+00,2022-03-04 06:45:00+00,株式会社グリーン,試験_面接,継続（合格）
20203004,s2a408,山下健太,2022-03-04 06:00:00+00,2022-03-04 07:00:00+00,株式会社アビリティ,インターン,他
20194042,r3a110,石川陸,2022-03-05 01:00:00+00,2022-03-05 02:30:00+00,株式会社イプシロン,試験_適正,結果待ち
20194008,r3a124,吉田大輔,2022-03-05 01:00:00+00,2022-03-05 01:45:00+00,株式会社イノベーション,試験_面接,結果待ち
20194039,r3a136,鈴木健太,2022-03-05 01:00:00+00,2022-03-05 02:00:00+00,株式会社レイヤー,説明会_単,他
20203001,s2a107,鈴木結衣,2022-03-05 01:00:00+00,2022-03-05 02:00:00+00,株式会社クラフト,説明会_単,他
20194077,r3a137,高橋陸,2022-03-05 04:00:00+00,2022-03-05 05:00:00+00,株式会社グリーン,インターン,他
20194058,r3a217,田中海斗,2022-03-05 04:00:00+00,2022-03-05 05:00:00+00,株式会社リーフ,説明会_合,他
20194084,r3a233,田中直樹,2022-03-05 04:00:00+00,2022-03-05 04:45:00+00,株式会社ノヴァ,試験_面接,不合格
20194084,r3a233,田中直樹,2022-03-05 04:00:00+00,2022-03-05 05:30:00+00,株式会社エッジ,試験_適正,結果待ち
20194064,r3a234,鈴木優奈,2022-03-05 04:00:00+00,2022-03-05 04:45:00+00,株式会社クロス,試験_面接,結果待ち
20203003,s2a311,山下陸,2022-03-05 04:00:00+00,2022-03-05 05:30:00+00,株式会社ユニオン,試験_適正,継続（合格）
20194011,r3a108,山田美咲,2022-03-05 06:00:00+00,2022-03-05 07:00:00+00,株式会社モデスト,インターン,他
20194003,r3a111,田中優奈,2022-03-05 06:00:00+00,2022-03-05 06:45:00+00,株式会社ライト,試験_面接,継続（合格）
20194084,r3a233,田中直樹,2022-03-05 06:00:00+00,2022-03-05 07:30:00+00,株式会社スカイ,試験_適正,継続（合格）
20194038,r3a238,山崎拓也,2022-03-05 06:00:00+00,2022-03-05 07:00:00+00,株式会社ベータ,説明会_合,他
20194040,r3a109,田中直樹,2022-03-06 01:00:00+00,2022-03-06 01:45:00+00,株式会社ミライ,試験_面接,結果待ち
20194053,r3a112,前田拓也,2022-03-06 01:00:00+00,2022-03-06 01:45:00+00,株式会社ブルーム,試験_面接,結果待ち
20194012,r3a215,木村彩香,2022-03-06 01:00:00+00,2022-03-06 02:30:00+00,株式会社ユニオン,試験_適正,結果待ち
20212024,j2a106,清水拓也,2022-03-06 04:00:00+00,2022-03-06 05:00:00+00,株式会社ルミナス,説明会_単,他
20194031,r3a122,渡辺結衣,2022-03-06 04:00:00+00,2022-03-06 05:30:00+00,株式会社エコー,試験_適正,結果待ち
20194079,r3a133,吉田悠斗,2022-03-06 04:00:00+00,2022-03-06 05:00:00+00,株式会社ホライズン,説明会_合,他
20194087,r3a141,山崎凛,2022-03-06 04:00:00+00,2022-03-06 04:45:00+00,株式会社クラフト,試験_面接,結果待ち
20194036,r3a205,鈴木杏奈,2022-03-06 04:00:00+00,2022-03-06 05:00:00+00,株式会社パルス,説明会_単,他
20194032,r3a232,清水太郎,2022-03-06 04:00:00+00,2022-03-06 04:45:00+00,株式会社ハーモニー,試験_面接,結果待ち
20194021,r3a237,山口太郎,2022-03-06 04:00:00+00,2022-03-06 05:30:00+00,株式会社スカイ,試験_適正,継続（合格）
20203001,s2a107,鈴木結衣,2022-03-06 04:00:00+00,2022-03-06 05:00:00+00,株式会社アビリティ,インターン,他
20203017,s2a113,田中杏奈,2022-03-06 04:00:00+00,2022-03-06 04:45:00+00,株式会社サンライズ,試験_面接,結果待ち
20203047,s2a204,小林優奈,2022-03-06 04:00:00+00,2022-03-06 05:00:00+00,株式会社シード,インターン,他
20212001,j1a104,渡辺優奈,2022-03-06 06:00:00+00,2022-03-06 07:30:00+00,株式会社アーク,試験_適正,不合格
20212025,j2a116,橋本大輔,2022-03-06 06:00:00+00,2022-03-06 07:00:00+00,株式会社ミライ,説明会_単,他
20212008,j2a119,山崎陸,2022-03-06 06:00:00+00,2022-03-06 07:00:00+00,株式会社レイヤー,説明会_単,他
20194025,r3a116,小林太郎,2022-03-06 06:00:00+00,2022-03-06 07:00:00+00,株式会社クラフト,説明会_合,他
20194015,r3a225,阿部拓也,2022-03-06 06:00:00+00,2022-03-06 07:00:00+00,株式会社ガンマ,説明会_合,他
20203049,s2a307,鈴木陸,2022-03-06 06:00:00+00,2022-03-06 07:30:00+00,株式会社クラフト,試験_適正,不合格
20203024,s2a406,加藤直樹,2022-03-06 06:00:00+00,2022-03-06 07:30:00+00,株式会社オービット,試験_適正,辞退
20203015,s2a412,井上海斗,2022-03-06 06:00:00+00,2022-03-06 07:30:00+00,株式会社アーク,試験_適正,継続（合格）
20212009,j1a107,渡辺凛,2022-03-07 01:00:00+00,2022-03-07 02:30:00+00,株式会社リンク,試験_適正,継続（合格）
